url,class,Strength,Intelligence,Willpower,Agility,Speed,Endurance,Personality,Luck
https://www.elderstats.com/character/8,Thief,100,75,88,100,100,90,90,61
https://www.elderstats.com/character/9,Acrobat,,,,,,,,
https://www.elderstats.com/character/11,,100,81,97,100,86,100,39,62
https://www.elderstats.com/character/20,,47,42,30,63,60,33,33,50
https://www.elderstats.com/character/21,,75,30,32,47,45,75,30,50
https://www.elderstats.com/character/22,Warrior,100,37,41,51,44,100,34,51
https://www.elderstats.com/character/24,Battlemage,,,,,,,,
https://www.elderstats.com/character/25,,100,40,30,92,100,100,42,70
https://www.elderstats.com/character/26,,89,100,89,84,86,100,30,50
https://www.elderstats.com/character/27,,65,30,32,45,42,65,30,50
https://www.elderstats.com/character/28,Warrior,,,,,,,,
https://www.elderstats.com/character/31,Rogue,56,40,40,79,73,53,52,60
https://www.elderstats.com/character/32,,,,,,,,,
https://www.elderstats.com/character/33,,,,,,,,,
https://www.elderstats.com/character/34,Mage,,,,,,,,
https://www.elderstats.com/character/36,,100,49,30,84,100,94,55,50
https://www.elderstats.com/character/37,Thief,,,,,,,,
https://www.elderstats.com/character/38,Battlemage,102,102,100,70,90,58,82,51
https://www.elderstats.com/character/39,Warrior,100,42,100,63,72,58,72,49
https://www.elderstats.com/character/40,Assassin,100,100,100,,,,,
https://www.elderstats.com/character/42,,100,47,35,30,40,100,94,50
https://www.elderstats.com/character/49,Monk,,,,,,,,
https://www.elderstats.com/character/53,,100,100,100,100,100,100,60,69
https://www.elderstats.com/character/54,Bard,,,,,,,,
https://www.elderstats.com/character/55,Mage,100,110,105,100,100,100,81,100
https://www.elderstats.com/character/56,,110,101,78,66,63,64,70,51
https://www.elderstats.com/character/59,Warrior,,,,,,,,
https://www.elderstats.com/character/65,,,,,,,,,
https://www.elderstats.com/character/66,Thief,,,,,,,,
https://www.elderstats.com/character/67,,79,58,76,100,94,100,65,60
https://www.elderstats.com/character/68,,73,42,59,56,53,74,30,50
https://www.elderstats.com/character/69,Mage,56,100,95,45,64,55,63,51
https://www.elderstats.com/character/70,Thief,57,50,53,87,64,60,70,60
https://www.elderstats.com/character/71,,,,,,,,,
https://www.elderstats.com/character/72,Mage,,,,,,,,
https://www.elderstats.com/character/73,Healer,,,,,,,,
https://www.elderstats.com/character/74,Assassin,,,,,,,,
https://www.elderstats.com/character/75,,,,,,,,,
https://www.elderstats.com/character/76,Mage,40,100,40,40,100,97,74,93
https://www.elderstats.com/character/78,Acrobat,,,,,,,,
https://www.elderstats.com/character/80,,81,46,57,76,74,81,53,98
https://www.elderstats.com/character/81,Assassin,63,55,52,82,82,79,58,81
https://www.elderstats.com/character/83,Assassin,,,,,,,,
https://www.elderstats.com/character/84,,100,100,100,74,100,100,54,62
https://www.elderstats.com/character/85,,100,100,100,81,100,100,52,52
https://www.elderstats.com/character/86,Mage,,,,,,,,
