url,class,Armorer,Athletics,Blade,Block,Blunt,Hand to Hand,Heavy Armor,Alchemy,Alteration,Conjuration,Destruction,Illusion,Mysticism,Restoration,Acrobatics,Light Armor,Marksman,Mercantile,Security,Sneak,Speechcraft,Strength,Intelligence,Willpower,Agility,Speed,Endurance,Personality,Luck
https://www.elderstats.com/character/8,Thief,100,84,102,50,25,53,100,20,62,43,77,100,35,96,102,100,102,80,92,102,80,100,75,88,100,100,90,90,61
https://www.elderstats.com/character/22,Warrior,77,43,59,48,32,35,100,100,18,12,19,7,5,22,31,14,13,11,33,14,19,100,37,41,51,44,100,34,51
https://www.elderstats.com/character/31,Rogue,34,0,30,29,0,0,0,0,0,0,0,0,0,0,52,54,40,0,0,54,0,56,40,40,79,73,53,52,60
https://www.elderstats.com/character/38,Battlemage,22,40,100,19,16,5,9,41,100,100,100,100,100,100,42,67,9,40,40,89,11,102,102,100,70,90,58,82,51
https://www.elderstats.com/character/39,Warrior,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,42,100,63,72,58,72,49
https://www.elderstats.com/character/55,Mage,85,76,106,68,27,78,66,100,100,110,110,100,100,110,101,35,11,61,61,100,52,100,110,105,100,100,100,81,100
https://www.elderstats.com/character/69,Mage,13,62,71,60,14,7,10,53,82,100,100,58,90,81,49,55,5,16,23,29,20,56,100,95,45,64,55,63,51
https://www.elderstats.com/character/70,Thief,46,40,58,38,11,12,15,5,9,9,12,7,5,46,50,60,63,42,49,100,72,57,50,53,87,64,60,70,60
https://www.elderstats.com/character/76,Mage,5,100,10,5,5,11,5,100,100,100,100,100,100,100,13,5,5,5,22,9,5,40,100,40,40,100,97,74,93
https://www.elderstats.com/character/81,Assassin,57,51,82,50,3,14,36,85,16,7,9,8,7,39,75,79,72,58,70,100,36,63,55,52,82,82,79,58,81
https://www.elderstats.com/character/87,Bard,12,25,37,32,10,10,15,25,5,5,5,31,5,13,23,41,10,41,21,43,50,40,45,35,49,64,40,65,60
https://www.elderstats.com/character/106,Agent,55,63,87,31,11,23,33,12,24,25,49,30,15,29,82,98,21,41,110,105,21,105,48,54,61,105,85,49,50
https://www.elderstats.com/character/107,Assassin,100,79,110,100,110,100,100,100,100,100,100,100,100,100,100,100,100,68,87,100,84,115,100,100,100,110,100,77,67
https://www.elderstats.com/character/117,Mage,25,43,57,39,9,15,39,40,50,44,66,67,44,59,29,60,13,17,27,21,22,59,66,56,47,43,52,56,50
https://www.elderstats.com/character/136,Barbarian,39,22,39,19,19,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,75,85,100,100,85,50,50
https://www.elderstats.com/character/146,Nightblade,58,100,87,48,46,45,75,82,100,100,68,100,100,68,93,82,52,100,100,100,100,92,85,83,100,82,100,72,70
https://www.elderstats.com/character/175,Warrior,100,103,103,86,60,81,100,100,100,100,85,100,95,84,72,36,43,51,84,101,56,100,100,100,86,78,100,61,61
https://www.elderstats.com/character/182,Rogue,9,13,30,5,5,15,5,20,30,5,5,31,5,7,21,36,13,35,39,45,13,30,47,35,71,50,40,53,60
https://www.elderstats.com/character/186,Mage,10,27,12,5,6,6,6,63,57,62,62,55,52,50,19,10,10,26,23,7,13,32,78,89,41,53,42,61,50
https://www.elderstats.com/character/187,Mage,12,34,9,9,11,16,6,93,70,55,78,52,50,50,21,5,5,31,26,5,13,40,108,100,38,46,41,55,50
https://www.elderstats.com/character/189,Warrior,85,55,73,54,51,50,80,20,5,6,19,6,6,34,27,5,10,32,40,6,16,110,52,44,56,57,100,40,50
